name,company,year,Price,kms_driven,fuel_type
Axio,Toyota,2016,8550000,44256,Hybrid
Axio,Toyota,2014,6250000,45000,Hybrid
Axio,Toyota,2017,8300000,45000,Petrol
Axio,Toyota,2016,8550000,45560,Petrol
Axio,Toyota,2016,8550000,47000,Hybrid
Axio,Toyota,2016,8550000,48000,Hybrid
Axio,Toyota,2016,8550000,49000,Hybrid
Axio,Toyota,2014,6250000,49850,Hybrid
Axio,Toyota,2015,7500000,50000,Hybrid
Axio,Toyota,2017,8300000,50000,Hybrid
Axio,Toyota,2015,7500000,51000,Petrol
Axio,Toyota,2015,7500000,52000,Hybrid
Axio,Toyota,2015,7500000,52000,Hybrid
Axio,Toyota,2011,5975000,53000,Petrol
Axio,Toyota,2016,8550000,53000,Hybrid
Axio,Toyota,2016,8550000,53000,Hybrid
Axio,Toyota,2015,7500000,54000,Hybrid
Axio,Toyota,2015,7500000,54000,Petrol
Axio,Toyota,2016,8550000,54600,Hybrid
Axio,Toyota,2018,9300000,55000,Petrol
Axio,Toyota,2013,6775000,57000,Hybrid
Axio,Toyota,2014,6250000,57000,Hybrid
Axio,Toyota,2015,7500000,57000,Hybrid
Axio,Toyota,2015,7500000,57000,Hybrid
Axio,Toyota,2014,6250000,58046,Hybrid
Axio,Toyota,2016,8550000,59000,Hybrid
Axio,Toyota,2015,7500000,59200,Hybrid
Axio,Toyota,2015,7500000,60000,Petrol
Axio,Toyota,2017,8300000,60000,Hybrid
Axio,Toyota,2015,7500000,61000,Hybrid
Axio,Toyota,2015,7500000,61000,Hybrid
Axio,Toyota,2016,8550000,61000,Hybrid
Axio,Toyota,2014,6250000,62000,Hybrid
Axio,Toyota,2013,6775000,63000,Hybrid
Axio,Toyota,2013,6775000,63000,Hybrid
Axio,Toyota,2014,6250000,63100,Hybrid
Axio,Toyota,2015,7500000,64000,Hybrid
Axio,Toyota,2013,6775000,65000,Hybrid
Axio,Toyota,2010,5500000,65000,Petrol
Axio,Toyota,2015,7500000,65000,Hybrid
Axio,Toyota,2015,7500000,65000,Petrol
Axio,Toyota,2015,7500000,65000,Hybrid
Axio,Toyota,2017,8300000,65000,Petrol
Axio,Toyota,2016,8550000,65000,Hybrid
Axio,Toyota,2015,7500000,66000,Hybrid
Axio,Toyota,2009,6250000,67000,Petrol
Axio,Toyota,2014,6250000,67000,Hybrid
Axio,Toyota,2016,8550000,67000,Hybrid
Axio,Toyota,2014,6250000,68000,Hybrid
Axio,Toyota,2014,6250000,68000,Hybrid
Axio,Toyota,2015,7500000,68400,Hybrid
Axio,Toyota,2014,6250000,69000,Hybrid
Axio,Toyota,2013,6775000,70000,Hybrid
Axio,Toyota,2015,7500000,70000,Hybrid
Axio,Toyota,2014,6250000,71000,Hybrid
Axio,Toyota,2013,6775000,72000,Hybrid
